City_ID,City,Country,Max Temp,Cloudiness,Lat,Lng,Hotel Name
513,San Policarpo,PH,81.72,62,12.1791,125.5072,Agapita M. Nicart
517,Panama City,PA,83.05,0,8.9936,-79.5197,Riande Urban Hotel
521,Tubuala,PA,82.51,6,9.5167,-79.0333,Río Nabagana
522,Kavaratti,IN,77.74,16,10.5669,72.642,Hotels in Lakshadweep Islands
532,Khon Buri,TH,78.62,56,14.5254,102.2459,Bangchongjai Cottage
533,Harper,LR,79.14,88,4.375,-7.7169,Screensaver
541,Lazaro Cardenas,MX,81.55,12,17.9583,-102.2,quinta antigua
543,Srandakan,ID,77.58,100,-7.9386,110.2506,Puri Brata
544,Las Tunas,CU,75.33,3,20.9617,-76.9511,Hotel Cadillac
549,Ailigandi,PA,78.66,7,9.2333,-78.0167,Akwa Reef Lodge
559,Martapura,ID,75.29,40,-3.4167,114.85,Montana Hotel Syariah
570,Caravelas,BR,77.52,8,-17.7125,-39.2481,Pousada dos Navegantes
572,Faanui,PF,81.66,94,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
574,Anito,PH,80.76,77,12.4497,125.2886,FELIPA LAODENIO PROPERTY
586,Mildura,AU,82.08,27,-34.2,142.15,Mercure Hotel Mildura
590,Ahuimanu,US,83.91,75,21.4447,-157.8378,Paradise Bay Resort
