City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
203,Salalah,OM,2022-02-07 00:13:29,17.0151,54.0924,75.29,27,0,14.97
204,Mangrol,IN,2022-02-07 00:13:29,21.1167,70.1167,63.48,76,6,8.52
205,Nemuro,JP,2022-02-07 00:13:29,43.3236,145.575,28.83,73,55,11.61
206,Vaijapur,IN,2022-02-07 00:13:30,19.9167,74.7333,64.17,33,21,7.85
207,Belaya Gora,RU,2022-02-07 00:13:30,68.5333,146.4167,-44.28,99,73,0.98
208,Barrow,US,2022-02-07 00:13:30,71.2906,-156.7887,-25.58,68,0,12.66
209,Charters Towers,AU,2022-02-07 00:13:31,-20.1,146.2667,79.39,55,85,10.89
210,Sao Joao Da Barra,BR,2022-02-07 00:09:23,-21.6403,-41.0511,77.23,86,0,24.0
211,Erfurt,DE,2022-02-07 00:13:31,50.9833,11.0333,40.5,84,75,16.11
212,Maragogi,BR,2022-02-07 00:13:31,-9.0122,-35.2225,79.32,74,60,10.63
213,Katherine,AU,2022-02-07 00:11:25,-14.4667,132.2667,82.72,78,75,6.91
214,Ankang,CN,2022-02-07 00:13:32,32.68,109.0172,28.94,91,100,2.64
215,Fortuna,US,2022-02-07 00:10:08,40.5982,-124.1573,65.43,94,100,5.75
216,Airai,TL,2022-02-07 00:13:32,-8.9266,125.4092,68.97,74,71,1.21
217,Kannad,IN,2022-02-07 00:13:33,20.2667,75.1333,61.81,35,6,3.67
218,Mankono,CI,2022-02-07 00:13:33,8.0586,-6.1897,77.22,22,2,2.93
219,Chimore,BO,2022-02-07 00:13:33,-16.9833,-65.1333,69.84,98,100,2.46
220,Wattegama,LK,2022-02-07 00:13:33,6.7989,81.4808,70.38,82,93,4.38
221,Kaohsiung,TW,2022-02-07 00:12:40,22.6163,120.3133,63.03,81,75,2.3
222,Touba,CI,2022-02-07 00:13:34,8.2833,-7.6833,75.85,17,1,3.42
223,Krasnoselkup,RU,2022-02-07 00:13:34,65.7,82.4667,-21.53,100,37,7.7
224,Codrington,AU,2022-02-07 00:13:35,-38.2667,141.9667,79.03,32,0,5.57
225,Beringovskiy,RU,2022-02-07 00:11:54,63.05,179.3167,-13.74,95,34,5.48
226,Jinka,ET,2022-02-07 00:13:35,5.65,36.65,68.0,31,35,1.59
227,Pangai,TO,2022-02-07 00:13:35,-19.8,-174.35,77.11,83,100,10.36
